dimension,data_type,algorithm,time_spent,trial_id
400,float,JKI,0.244113,1
400,float,KJI,0.237417,1
400,double,IJK,0.195985,2
400,double,JIK,0.189842,2
400,double,KIJ,0.174708,2
400,double,IKJ,0.17724,2
400,double,JKI,0.259094,2
400,double,KJI,0.250042,2
400,float,IJK,0.169971,2
400,float,JIK,0.165925,2
400,float,KIJ,0.171602,2
400,float,IKJ,0.171497,2
400,float,JKI,0.244208,2
400,float,KJI,0.242445,2
400,double,IJK,0.197038,3
400,double,JIK,0.189961,3
400,double,KIJ,0.173364,3
400,double,IKJ,0.177487,3
400,double,JKI,0.256816,3
400,double,KJI,0.254591,3
400,float,IJK,0.169133,3
400,float,JIK,0.166273,3
400,float,KIJ,0.172564,3
400,float,IKJ,0.172099,3
400,float,JKI,0.297144,3
400,float,KJI,0.2686,3
400,double,IJK,0.19591,4
400,double,JIK,0.188835,4
400,double,KIJ,0.207982,4
400,double,IKJ,0.21618,4
400,double,JKI,0.271842,4
400,double,KJI,0.258707,4
400,float,IJK,0.173876,4
400,float,JIK,0.178087,4
400,float,KIJ,0.195622,4
400,float,IKJ,0.188742,4
400,float,JKI,0.256522,4
400,float,KJI,0.253739,4
500,double,IJK,0.572323,0
500,double,JIK,0.397178,0
500,double,KIJ,0.378435,0
500,double,IKJ,0.409729,0
500,double,JKI,0.526902,0
500,double,KJI,0.506361,0
500,float,IJK,0.39425,0
500,float,JIK,0.3636,0
500,float,KIJ,0.34558,0
500,float,IKJ,0.372631,0
500,float,JKI,0.516294,0
500,float,KJI,0.493413,0
500,double,IJK,0.418816,1
500,double,JIK,0.380036,1
500,double,KIJ,0.348406,1
500,double,IKJ,0.360252,1
500,double,JKI,0.551617,1
500,double,KJI,0.748256,1
500,float,IJK,0.434018,1
500,float,JIK,0.382009,1
500,float,KIJ,0.341801,1
500,float,IKJ,0.344314,1
500,float,JKI,0.481209,1
500,float,KJI,0.477335,1
500,double,IJK,0.411415,2
500,double,JIK,0.379473,2
500,double,KIJ,0.361196,2
500,double,IKJ,0.359576,2
500,double,JKI,0.522065,2
500,double,KJI,0.507674,2
500,float,IJK,0.37453,2
500,float,JIK,0.353158,2
500,float,KIJ,0.344882,2
500,float,IKJ,0.353756,2
500,float,JKI,0.495858,2
500,float,KJI,0.499394,2
500,double,IJK,0.401105,3
500,double,JIK,0.372188,3
500,double,KIJ,0.349438,3
500,double,IKJ,0.361876,3
500,double,JKI,0.519843,3
500,double,KJI,0.503525,3
500,float,IJK,0.366955,3
500,float,JIK,0.351306,3
500,float,KIJ,0.340311,3
500,float,IKJ,0.343312,3
500,float,JKI,0.497954,3
500,float,KJI,0.530453,3
500,double,IJK,0.412508,4
500,double,JIK,0.367424,4
500,double,KIJ,0.384579,4
500,double,IKJ,0.370917,4
500,double,JKI,0.510918,4
500,double,KJI,0.495785,4
500,float,IJK,0.423637,4
500,float,JIK,0.353507,4
500,float,KIJ,0.345939,4
500,float,IKJ,0.34426,4
500,float,JKI,0.508682,4
500,float,KJI,0.523283,4
800,double,IJK,1.708237,0
800,double,JIK,1.755186,0
800,double,KIJ,1.619057,0
800,double,IKJ,1.548406,0
